PRIM_STATE,mean_annual_salary
GA,"105,470"
GA,"110,670"
GA,"84,380"
TX,"111,600"
CA,"115,810"
MD,"119,180"
LA,"68,390"
MI,"77,250"
OR,"80,280"
NY,"103,810"
AL,"87,450"
IN,"75,230"
ID,"98,110"
CO,"141,740"
NY,"97,230"
MD,"111,170"
OH,"78,590"
FL,"99,910"
IA,"84,980"
IL,"98,790"
SC,"91,600"
NC,"128,810"
VA,"117,460"
TN,"110,390"
IL,"110,800"
OH,"99,160"
OH,"97,150"
TX,"103,730"
CO,"116,860"
MO,"75,220"
SC,"85,490"
GA,"89,130"
OH,"93,820"
TX,"82,490"
FL,"100,050"
TX,"108,090"
IA,"85,820"
OH,"77,410"
FL,"94,850"
CO,"114,940"
IA,"102,800"
MI,"95,990"
IA,"70,060"
MN,"75,390"
NC,"117,150"
WI,"91,250"
IN,"98,550"
TX,"81,300"
PA,"69,200"
OR,"82,890"
IN,"65,350"
ND,"94,130"
AZ,*
MI,"78,420"
CO,"108,610"
IN,"76,920"
CA,"91,110"
FL,"73,900"
GA,"84,510"
CO,"87,890"
MI,"87,370"
CO,"95,260"
WI,"96,230"
NC,"105,890"
SC,"94,190"
MS,"67,240"
PA,"91,210"
NC,"99,400"
TX,"93,610"
AL,"101,710"
IN,"81,860"
IA,"83,670"
NY,"117,820"
MS,"85,590"
FL,"97,670"
WI,"89,490"
MO,"76,440"
MI,"86,190"
MO,"84,370"
TX,"96,510"
TN,"111,430"
TN,"100,200"
WI,"84,810"
IN,"79,560"
FL,"93,030"
PA,"84,680"
MI,"89,680"
TX,*
NM,"64,270"
NV,"92,440"
KY,"89,210"
NE,"83,680"
UT,"75,920"
CA,"120,290"
KY,"86,280"
TX,"79,670"
GA,"90,880"
WI,"83,990"
TX,"76,020"
TN,"97,250"
CA,"93,580"
FL,"108,470"
WI,"96,470"
MN,"112,880"
AL,"75,730"
CA,"97,800"
AL,"65,110"
SC,"101,560"
FL,"104,900"
TN,"113,830"
LA,"89,470"
