"","NAICS_TITLE","A_MEAN","category"
"147","Heavy and Civil Engineering Construction","69,620","Manufacturing and Construction"
"148","Heavy and Civil Engineering Construction","69,620","Manufacturing and Construction"
"149","Utility System Construction","84,590","Manufacturing and Construction"
"150","Utility System Construction","71,500","Manufacturing and Construction"
"151","Utility System Construction","71,500","Manufacturing and Construction"
"152","Power and Communication Line and Related Structures Construction","83,520","Manufacturing and Construction"
"153","Power and Communication Line and Related Structures Construction","73,850","Manufacturing and Construction"
"154","Power and Communication Line and Related Structures Construction","73,850","Manufacturing and Construction"
"155","Land Subdivision","102,650","Other Industries"
"156","Specialty Trade Contractors","68,770","Other Industries"
"157","Specialty Trade Contractors","57,150","Other Industries"
"158","Specialty Trade Contractors","94,800","Other Industries"
"159","Specialty Trade Contractors","94,800","Other Industries"
"160","Foundation, Structure, and Building Exterior Contractors","74,550","Other Industries"
"161","Building Equipment Contractors","67,210","Other Industries"
"162","Building Equipment Contractors","57,150","Other Industries"
"163","Building Equipment Contractors","99,720","Other Industries"
"164","Building Equipment Contractors","99,720","Other Industries"
"165","Electrical Contractors and Other Wiring Installation Contractors","79,200","Other Industries"
"166","Electrical Contractors and Other Wiring Installation Contractors","55,490","Other Industries"
"167","Electrical Contractors and Other Wiring Installation Contractors","89,970","Other Industries"
"168","Electrical Contractors and Other Wiring Installation Contractors","89,970","Other Industries"
"169","Plumbing, Heating, and Air-Conditioning Contractors","47,100","Other Industries"
"170","Other Building Equipment Contractors","105,690","Other Industries"
"171","Other Building Equipment Contractors","105,690","Other Industries"
"172","Food Manufacturing","83,710","Manufacturing and Construction"
"173","Food Manufacturing","87,110","Manufacturing and Construction"
"174","Food Manufacturing","83,950","Manufacturing and Construction"
"175","Food Manufacturing","83,950","Manufacturing and Construction"
"176","Grain and Oilseed Milling","75,350","Other Industries"
"177","Grain and Oilseed Milling","91,050","Other Industries"
"178","Animal Slaughtering and Processing","78,920","Other Industries"
"179","Animal Slaughtering and Processing","78,920","Other Industries"
"180","Bakeries and Tortilla Manufacturing","54,120","Manufacturing and Construction"
"181","Bakeries and Tortilla Manufacturing","54,120","Manufacturing and Construction"
"182","Other Food Manufacturing","80,410","Manufacturing and Construction"
"183","Other Food Manufacturing","80,410","Manufacturing and Construction"
"184","Beverage and Tobacco Product Manufacturing","77,850","Manufacturing and Construction"
"185","Beverage and Tobacco Product Manufacturing","83,870","Manufacturing and Construction"
"186","Beverage and Tobacco Product Manufacturing","94,780","Manufacturing and Construction"
"187","Beverage and Tobacco Product Manufacturing","94,780","Manufacturing and Construction"
"188","Beverage Manufacturing","77,850","Manufacturing and Construction"
"189","Beverage Manufacturing","85,490","Manufacturing and Construction"
"190","Beverage Manufacturing","94,100","Manufacturing and Construction"
"191","Beverage Manufacturing","94,100","Manufacturing and Construction"
"192","Paper Manufacturing","86,790","Manufacturing and Construction"
"193","Paper Manufacturing","112,100","Manufacturing and Construction"
"194","Paper Manufacturing","87,840","Manufacturing and Construction"
"195","Paper Manufacturing","87,840","Manufacturing and Construction"
"196","Converted Paper Product Manufacturing","85,440","Manufacturing and Construction"
"197","Printing and Related Support Activities","66,030","Other Industries"
"198","Printing and Related Support Activities","60,300","Other Industries"
"199","Printing and Related Support Activities","66,030","Other Industries"
"200","Printing and Related Support Activities","60,300","Other Industries"
"201","Petroleum and Coal Products Manufacturing","104,160","Manufacturing and Construction"
"202","Petroleum and Coal Products Manufacturing","128,600","Manufacturing and Construction"
"203","Petroleum and Coal Products Manufacturing","104,160","Manufacturing and Construction"
"204","Petroleum and Coal Products Manufacturing","128,600","Manufacturing and Construction"
"205","Chemical Manufacturing","117,560","Manufacturing and Construction"
"206","Chemical Manufacturing","94,920","Manufacturing and Construction"
"207","Chemical Manufacturing","160,260","Manufacturing and Construction"
"208","Chemical Manufacturing","124,820","Manufacturing and Construction"
"209","Chemical Manufacturing","124,820","Manufacturing and Construction"
"210","Chemical Manufacturing","110,020","Manufacturing and Construction"
"211","Pharmaceutical and Medicine Manufacturing","123,700","Manufacturing and Construction"
"212","Pharmaceutical and Medicine Manufacturing","96,000","Manufacturing and Construction"
"213","Pharmaceutical and Medicine Manufacturing","162,400","Manufacturing and Construction"
"214","Pharmaceutical and Medicine Manufacturing","128,960","Manufacturing and Construction"
"215","Pharmaceutical and Medicine Manufacturing","128,960","Manufacturing and Construction"
"216","Pharmaceutical and Medicine Manufacturing","110,010","Manufacturing and Construction"
"217","Plastics and Rubber Products Manufacturing","73,680","Manufacturing and Construction"
"218","Plastics and Rubber Products Manufacturing","101,270","Manufacturing and Construction"
"219","Plastics and Rubber Products Manufacturing","71,450","Manufacturing and Construction"
"220","Plastics and Rubber Products Manufacturing","71,450","Manufacturing and Construction"
"221","Plastics Product Manufacturing","72,460","Manufacturing and Construction"
"222","Plastics Product Manufacturing","105,880","Manufacturing and Construction"
"223","Plastics Product Manufacturing","70,930","Manufacturing and Construction"
"224","Plastics Product Manufacturing","70,930","Manufacturing and Construction"
"225","Nonmetallic Mineral Product Manufacturing","95,150","Manufacturing and Construction"
"226","Nonmetallic Mineral Product Manufacturing","95,150","Manufacturing and Construction"
"227","Nonmetallic Mineral Product Manufacturing","95,150","Manufacturing and Construction"
"228","Nonmetallic Mineral Product Manufacturing","95,150","Manufacturing and Construction"
"229","Primary Metal Manufacturing","84,480","Manufacturing and Construction"
"230","Primary Metal Manufacturing","93,830","Manufacturing and Construction"
"231","Primary Metal Manufacturing","93,830","Manufacturing and Construction"
"232","Fabricated Metal Product Manufacturing","78,700","Manufacturing and Construction"
"233","Fabricated Metal Product Manufacturing","82,550","Manufacturing and Construction"
"234","Fabricated Metal Product Manufacturing","85,200","Manufacturing and Construction"
"235","Fabricated Metal Product Manufacturing","85,200","Manufacturing and Construction"
"236","Machinery Manufacturing","82,660","Manufacturing and Construction"
"237","Machinery Manufacturing","108,560","Manufacturing and Construction"
"238","Machinery Manufacturing","96,290","Manufacturing and Construction"
"239","Machinery Manufacturing","96,290","Manufacturing and Construction"
"240","Commercial and Service Industry Machinery Manufacturing","108,880","Manufacturing and Construction"
"241","Commercial and Service Industry Machinery Manufacturing","108,880","Manufacturing and Construction"
"242","Metalworking Machinery Manufacturing","82,640","Manufacturing and Construction"
"243","Metalworking Machinery Manufacturing","82,640","Manufacturing and Construction"
"244","Engine, Turbine, and Power Transmission Equipment Manufacturing","86,820","Manufacturing and Construction"
"245","Engine, Turbine, and Power Transmission Equipment Manufacturing","121,880","Manufacturing and Construction"
"246","Engine, Turbine, and Power Transmission Equipment Manufacturing","104,050","Manufacturing and Construction"
"247","Engine, Turbine, and Power Transmission Equipment Manufacturing","104,050","Manufacturing and Construction"
