NAICS_TITLE,A_MEAN
"Engine, Turbine, and Power Transmission Equipment Manufacturing","86,820"
"Engine, Turbine, and Power Transmission Equipment Manufacturing","121,880"
"Engine, Turbine, and Power Transmission Equipment Manufacturing","104,050"
"Engine, Turbine, and Power Transmission Equipment Manufacturing","104,050"
Computer and Electronic Product Manufacturing,"130,310"
Computer and Electronic Product Manufacturing,"132,630"
Computer and Electronic Product Manufacturing,"123,180"
Computer and Electronic Product Manufacturing,"138,430"
Computer and Electronic Product Manufacturing,"138,430"
Computer and Electronic Product Manufacturing,"235,650"
Computer and Peripheral Equipment Manufacturing,"149,930"
Computer and Peripheral Equipment Manufacturing,"231,150"
Computer and Peripheral Equipment Manufacturing,"158,350"
Computer and Peripheral Equipment Manufacturing,"158,350"
Communications Equipment Manufacturing,"104,070"
Communications Equipment Manufacturing,"115,430"
Communications Equipment Manufacturing,"100,950"
Communications Equipment Manufacturing,"100,950"
Audio and Video Equipment Manufacturing,"106,610"
Semiconductor and Other Electronic Component Manufacturing,"114,790"
Semiconductor and Other Electronic Component Manufacturing,"111,560"
Semiconductor and Other Electronic Component Manufacturing,"96,600"
Semiconductor and Other Electronic Component Manufacturing,"148,270"
Semiconductor and Other Electronic Component Manufacturing,"148,270"
"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing","115,780"
"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing","110,820"
"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing","141,000"
"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing","121,190"
"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing","121,190"
"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing","235,650"
Manufacturing and Reproducing Magnetic and Optical Media,"91,920"
Manufacturing and Reproducing Magnetic and Optical Media,*
Manufacturing and Reproducing Magnetic and Optical Media,*
"Electrical Equipment, Appliance, and Component Manufacturing","85,240"
"Electrical Equipment, Appliance, and Component Manufacturing","95,000"
"Electrical Equipment, Appliance, and Component Manufacturing","86,110"
"Electrical Equipment, Appliance, and Component Manufacturing","86,110"
Household Appliance Manufacturing,"80,350"
Household Appliance Manufacturing,"80,350"
Electrical Equipment Manufacturing,"103,130"
Other Electrical Equipment and Component Manufacturing,"90,430"
Other Electrical Equipment and Component Manufacturing,"90,430"
Transportation Equipment Manufacturing,"110,760"
Transportation Equipment Manufacturing,"111,590"
Transportation Equipment Manufacturing,"114,180"
Transportation Equipment Manufacturing,"110,930"
Transportation Equipment Manufacturing,"110,930"
Motor Vehicle Manufacturing,"143,320"
Motor Vehicle Manufacturing,"100,990"
Motor Vehicle Manufacturing,"107,020"
Motor Vehicle Manufacturing,"107,020"
Motor Vehicle Parts Manufacturing,"110,400"
Motor Vehicle Parts Manufacturing,"97,070"
Motor Vehicle Parts Manufacturing,"93,510"
Motor Vehicle Parts Manufacturing,"93,510"
Aerospace Product and Parts Manufacturing,"90,490"
Aerospace Product and Parts Manufacturing,"114,780"
Aerospace Product and Parts Manufacturing,"128,630"
Aerospace Product and Parts Manufacturing,"115,380"
Aerospace Product and Parts Manufacturing,"115,380"
Ship and Boat Building,"87,110"
Furniture and Related Product Manufacturing,"80,350"
Furniture and Related Product Manufacturing,"80,350"
Miscellaneous Manufacturing,"101,520"
Miscellaneous Manufacturing,"98,960"
Miscellaneous Manufacturing,"144,690"
Miscellaneous Manufacturing,"108,690"
Miscellaneous Manufacturing,"108,690"
Miscellaneous Manufacturing,"99,780"
Medical Equipment and Supplies Manufacturing,"104,990"
Medical Equipment and Supplies Manufacturing,"101,970"
Medical Equipment and Supplies Manufacturing,"146,100"
Medical Equipment and Supplies Manufacturing,"113,740"
Medical Equipment and Supplies Manufacturing,"113,740"
Medical Equipment and Supplies Manufacturing,"100,780"
Other Miscellaneous Manufacturing,"78,460"
Other Miscellaneous Manufacturing,"91,570"
Other Miscellaneous Manufacturing,"91,570"
"Merchant Wholesalers, Durable Goods","95,180"
"Merchant Wholesalers, Durable Goods","90,700"
"Merchant Wholesalers, Durable Goods","96,300"
"Merchant Wholesalers, Durable Goods","112,790"
"Merchant Wholesalers, Durable Goods","112,790"
"Merchant Wholesalers, Durable Goods","115,060"
Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,"143,940"
Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,"66,430"
Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,"110,860"
Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,"110,860"
Professional and Commercial Equipment and Supplies Merchant Wholesalers,"80,720"
Professional and Commercial Equipment and Supplies Merchant Wholesalers,"81,540"
Professional and Commercial Equipment and Supplies Merchant Wholesalers,"89,170"
Professional and Commercial Equipment and Supplies Merchant Wholesalers,"122,130"
Professional and Commercial Equipment and Supplies Merchant Wholesalers,"122,130"
Professional and Commercial Equipment and Supplies Merchant Wholesalers,"115,060"
